"backend","model","k","condition","rep","secs","U","S","C","IL1","k_viol","n_refine","early_stop","error"
"gpt5","gpt-5.5",10,"batch3",7,35.5800000000004,0.0593868265325886,0.0245477230193387,0.114795918367347,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",7,77.4850000000001,0.0354185439338278,0.00704928259513412,0.0992063492063492,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",7,49.2649999999999,0.0364675509109844,0.0256394260761073,0.0833333333333333,0.000429893323512503,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",7,110.877,0.00304637138698274,0.00913911416094822,0,0,0,2,FALSE,FALSE
"gpt5","gpt-5.5",10,"loop",7,186.254,0.0427549039994455,0.0270742358078603,0.101190476190476,0,0,2,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch3",8,29.6940000000004,0.0262528592222915,0.00733000623830318,0.0714285714285714,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",8,36.5010000000002,0.0869148246313914,0.0219276356830942,0.2,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",8,62.0839999999998,0.0301154086088584,0.00820336868371803,0.0821428571428571,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",8,54.2359999999999,0.0363242531364802,0.0256394260761073,0.0833333333333333,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",8,156.202,0.00899875233936369,0.00913911416094822,0.0178571428571429,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",8,8360.701,NA,NA,NA,NA,NA,NA,NA,TRUE
"gpt5","gpt-5.5",3,"batch3",9,1954.506,0.0381033726341423,0.00673736743605739,0.107142857142857,0.000429893323512503,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",9,5095.516,0.0283962561094435,0.0256082345601996,0.0595238095238095,5.67242443214293e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",9,3033.398,0.0184601788313579,0.00895196506550218,0.0464285714285714,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",9,7864.17,NA,NA,NA,NA,NA,NA,NA,TRUE
"gpt5","gpt-5.5",3,"loop",9,11341.032,NA,NA,NA,NA,NA,NA,NA,TRUE
"gpt5","gpt-5.5",10,"loop",9,7793.681,NA,NA,NA,NA,NA,NA,NA,TRUE
"gpt5","gpt-5.5",3,"batch3",10,3175.051,0.0373307115101604,0.00888958203368684,0.0642857142857143,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",10,558.267,0.0283631506867044,0.0284154709918902,0.0178571428571429,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",10,1078.609,0.0379600748596382,0.00673736743605739,0.107142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",10,3180.936,0.0464478804622286,0.0245477230193387,0.114795918367347,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",10,1963.188,0.0207683510085257,0.00873362445414847,0.0535714285714286,0,0,3,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",10,2035.096,0.0397782393692268,0.0248908296943231,0.0943877551020408,5.61333113163667e-05,0,1,TRUE,FALSE
"gpt5","gpt-5.5",3,"batch3",11,37.6990000000005,0.0391918052926516,0.00733000623830318,0.0714285714285714,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",11,37.2649999999994,0.0154843250150947,0.0281659388646288,0.0178571428571429,0.000429893323512503,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",11,70.3820000000051,0.0379600748596382,0.00673736743605739,0.107142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",11,59.5689999999959,0.0284917169196645,0.025951341235184,0.0595238095238095,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",11,97.413999999997,0.00899875233936369,0.00913911416094822,0.0178571428571429,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",11,108.864000000001,0.0526984743358147,0.0248908296943231,0.0943877551020408,0.0388168382110801,0,2,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch3",12,71.3570000000036,0.0379600748596382,0.00673736743605739,0.107142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",12,60.609000000004,0.0363242531364802,0.0256394260761073,0.0833333333333333,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",12,49.351999999999,0.0323715949261801,0.00782907049282595,0.0892857142857143,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",12,51.8199999999997,0.0474011152174949,0.0268558951965066,0.076530612244898,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",12,106.173999999999,0.0184601788313579,0.00895196506550218,0.0464285714285714,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",12,78.1270000000004,0.0154843250150947,0.0281659388646288,0.0178571428571429,0.000429893323512503,0,1,TRUE,FALSE
