"backend","model","k","condition","rep","secs","U","S","C","IL1","k_viol","n_refine","early_stop","error"
"gpt41","gpt-4.1",3,"batch5",5,14.372,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",5,15.894,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",5,27.059,0.0094718236639634,0.0284154709918902,0,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",5,12.259,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",5,13.907,0.0216833021418174,0.0114784778540237,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",5,25.323,0.0245546544673182,0.026044915782907,0.0476190476190476,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",6,9.47899999999993,0.00897795799542524,0.00907673112913288,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",6,9.101,0.0216833021418174,0.0114784778540237,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",6,15.5210000000001,0.0206591807028488,0.0262632563942608,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",6,13.585,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",6,19.3330000000001,0.0168330214181743,0.0147847785402371,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",6,31.544,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",6,12.091,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",6,15.723,0.0161052193803286,0.0126013724266999,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",6,22.3170000000001,0.0168255948667677,0.0300686213349969,0.0204081632653061,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",7,8.46100000000001,0.00899875233936369,0.00913911416094822,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",7,11.443,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",7,15.8110000000001,0.0168255948667677,0.0300686213349969,0.0204081632653061,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",7,13.883,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",7,17.8780000000002,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",7,30.175,0.0094718236639634,0.0284154709918902,0,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",7,12.2859999999998,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",7,21.0909999999999,0.0111509669369931,0.0155957579538366,0.0178571428571429,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",7,30.7040000000002,0.0201809107922645,0.0248284466625078,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",8,6.75,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",8,13.425,0.0111405697650239,0.0155645664379289,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",8,15.0619999999999,0.0154242046163444,0.0284154709918902,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",8,13.0729999999999,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",8,14.95,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",8,29.7530000000002,0.0094718236639634,0.0284154709918902,0,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",8,11.0919999999999,0.0199989602828031,0.00642545227698066,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",8,18.058,0.0205413460871976,0.0140049906425452,0.0476190476190476,0,0,2,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",8,20.9419999999998,0.0168255948667677,0.0300686213349969,0.0204081632653061,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",9,8.20600000000013,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",9,14.1130000000001,0.0161052193803286,0.0126013724266999,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",9,16.126,0.0168255948667677,0.0300686213349969,0.0204081632653061,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",9,13.1899999999998,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",9,18.9839999999999,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",9,25.3390000000002,0.0094718236639634,0.0284154709918902,0,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",9,12.3520000000001,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",9,13.5349999999999,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",9,27.961,0.0201809107922645,0.0248284466625078,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",10,21.731,0.00899875233936369,0.00913911416094822,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",10,12.0350000000001,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",10,14.885,0.0201809107922645,0.0248284466625078,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",10,12.5610000000001,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",10,15.202,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",10,26.1990000000001,0.0094718236639634,0.0284154709918902,0,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",10,13.046,0.0140465793304221,0.00642545227698066,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",10,13.1090000000002,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",10,18.9290000000001,0.0245546544673182,0.026044915782907,0.0476190476190476,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",11,8.40800000000013,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",11,12.4960000000001,0.0111509669369931,0.0155957579538366,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",11,24.4379999999999,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",11,13.4740000000002,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",11,15.758,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",11,20.6959999999999,0.0094718236639634,0.0284154709918902,0,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",11,11.6419999999998,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",11,18.5049999999999,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",11,24.2430000000002,0.0206591807028488,0.0262632563942608,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",12,7.51800000000003,0.0140465793304221,0.00642545227698066,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",12,11.424,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",12,21.4169999999999,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",12,15.7160000000001,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",12,21.328,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",12,32.9289999999999,0.0201809107922645,0.0248284466625078,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",12,16.9979999999998,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",12,17.085,0.0111405697650239,0.0155645664379289,0.0178571428571429,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",12,28.2370000000001,0.0154242046163444,0.0284154709918902,0.0178571428571429,0,0,2,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",13,8.86999999999989,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",13,10.9690000000001,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",13,15.8380000000002,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",13,14.788,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",13,17.902,0.0161052193803286,0.0126013724266999,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",13,22.0210000000002,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",13,9.39300000000003,0.0199989602828031,0.00642545227698066,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",13,12.7469999999998,0.0216833021418174,0.0114784778540237,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",13,18.031,0.0168255948667677,0.0300686213349969,0.0204081632653061,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",14,10.5210000000002,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",14,10.1529999999998,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",14,13.9089999999997,0.0168255948667677,0.0300686213349969,0.0204081632653061,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",14,15.453,0.00899875233936369,0.00913911416094822,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",14,14.281,0.0161052193803286,0.0126013724266999,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",14,23.8450000000003,0.0153410272405906,0.0281659388646288,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",14,8.8109999999997,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",14,12.6280000000002,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",14,22.944,0.0094718236639634,0.0284154709918902,0,0,0,2,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",15,8.88100000000031,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",15,8.93600000000015,0.0161052193803286,0.0126013724266999,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",15,13.6930000000002,0.0154242046163444,0.0284154709918902,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",15,13.2840000000001,0.00899875233936369,0.00913911416094822,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",15,13.011,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",15,29.8290000000002,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",15,11.0969999999998,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",15,12.2759999999998,0.0216833021418174,0.0114784778540237,0.0535714285714286,0,0,1,TRUE,FALSE
